,Unnamed: 0,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
102,102,0.968899306,0.012920059,2.44e-05,1.39e-19,0.06606103,0.001527597,0.139844933,0.001758472,0.005516913,2.44e-05,0.069815841,0.038727524,2.32e-05,0.026159891
103,103,0.99936648,0.027562592,0.001863874,0.005038961,0.571934367,0.003104699,0.075947977,0.027670071,0.113227271,0.001863874,0.655641864,0.065006916,0.001881438,0.078477523
105,105,0.949019149,0.022394647,0.001191942,6e-30,0.015779571,1.58e-05,0.009778959,0.029894021,0.003019359,0.001191942,0.018414295,0.053941909,0.001188765,0.124255473
107,107,2.07e-05,0.085271465,0.002777888,0.0012571,0.516609657,0.018930249,0.119416723,0.008223442,0.022542076,0.002777888,0.569298505,0.058091286,0.002934835,0.006538528
112,112,0.999474841,0.040482498,0.005930961,0.006213182,0.57194178,0.00640742,0.082109449,0.037496826,0.152391684,0.005930961,0.65628349,0.089903181,0.0060256,0.124255473
114,114,0.000121478,0.026701268,0.000707402,0.00081064,0.527435303,0.002652078,0.197564421,0.041168929,0.041830514,0.000707402,0.592962217,0.073305671,0.000730861,0.104636426
117,117,0.000811297,0.022394647,0.000825094,0.000100858,0.446387519,0.00163368,0.010542372,0.012309303,0.011970396,0.000825094,0.487329156,0.062240664,0.000876268,0.0
118,118,0.000922483,0.013781383,0.00088394,0.005658409,0.541170566,0.000149931,0.070443405,0.018774273,0.038681529,0.00088394,0.594233509,0.044260028,0.000914533,0.130795163
120,120,0.010814536,0.044789119,0.008007006,0.00171182,0.523204956,0.003762415,0.009524488,0.011481787,0.011258246,0.008007006,0.545754076,0.034578147,0.008572415,0.078477523
121,121,0.01040692,0.036175855,0.00068737,0.000632795,0.535411831,0.00236919,0.057466472,0.022549815,0.030483255,0.00068737,0.59025811,0.066390041,0.000743616,0.091556895
125,125,0.011113891,0.043927795,0.034910092,0.005013089,0.613843415,0.004038231,0.023593102,0.030721537,0.069728945,0.034910092,0.672443737,0.092669433,0.032985219,0.006538528
126,126,0.011199854,0.00947474,0.0,3.99e-05,0.433317671,2.88e-18,0.011414845,0.086674559,0.007168549,0.0,0.476012843,0.027662517,0.0,0.156953892
128,128,0.020592879,0.018088004,0.000812574,0.073681594,0.812246564,0.001223492,0.005125774,0.126506532,0.142898833,0.000812574,0.782142402,0.042876902,0.000798463,0.065398159
129,129,0.020705579,0.018088004,0.000224115,0.004145716,0.540215425,0.000214288,0.010324254,0.028238989,0.028625976,0.000224115,0.562860922,0.038727524,0.000200253,0.183112795
134,134,0.939336958,0.024117295,1.01e-05,1.23e-38,0.000385742,0.015266775,0.000552566,0.000310319,9.61e-05,1.01e-05,0.000325725,0.001383126,6.99e-06,0.15041421
135,135,0.959528982,0.032730559,0.000180294,5.0700000000000004e-21,0.056130142,0.022802778,0.095023491,0.002430829,0.00584491,0.000180294,0.062068399,0.047026279,0.00016709,0.176573113
136,136,0.959109359,0.07062891,0.000453238,1.8299999999999999e-25,0.027340075,0.083060959,0.0553809,0.001086115,0.001454394,0.000453238,0.026724925,0.017980636,0.000461731,0.398922855
137,137,0.968593695,0.035314531,0.001704514,1.62e-20,0.054497799,0.037420325,0.064721078,0.005378855,0.0057817,0.001704514,0.061081402,0.044260028,0.001743812,0.287747901
