,Id,Unnamed: 0.1,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality
3690,0.000124,0.2909574257032893,0.043927795,0.004604275,0.006210958,0.576691389,0.022995636999999996,0.04334950799999999,0.012361023,0.054208705,0.004604275,0.587037841
3691,0.999287277,0.2909971035194223,0.021533322,0.000508328,0.005289591,0.564141943,0.005997231999999998,0.151154717,0.044870512,0.082743984,0.000508328,0.632083377
3692,0.999991727,0.2910367813355553,0.016365355,0.000873924,0.008611453,0.570646562,0.0021994569999999984,0.060179496999999985,0.019188031,0.102141347,0.000873924,0.639934843
3693,0.020705882,0.2910764591516883,0.01722668,0.666150275,0.029801777,0.714218577,0.0011881309999999983,0.08581418399999999,0.019601789,0.074013702,0.666150275,0.693137853
3694,0.999485133,0.2911558147839543,0.028423916,0.004878547,0.005669136,0.565676135,0.005353660999999998,0.08386093699999998,0.040444852,0.087459244,0.004878547,0.634748898
3695,0.999480592,0.2911954926000873,0.015504031,0.001672437,0.005190782,0.539984369,0.0021358069999999982,0.146803262,0.041375808,0.053042611,0.001672437,0.566766362
3696,0.999370718,0.29123517041622027,0.010336064,0.00088394,1.75e-10,0.249300579,0.0029632549999999984,0.017776620999999986,0.025653001,0.000916683,0.00088394,0.2646997
3697,0.999569279,0.2912748482323533,0.026701268,0.000567174,0.007349818,0.565603585,0.007716273999999999,0.12478424499999999,0.017791597,0.103091609,0.000567174,0.634324551
3698,0.998980254,0.2913145260484863,0.00947474,0.005551042,0.000963858,0.565139671,0.0012447089999999984,0.054494976999999986,0.004603059,0.006800256,0.005551042,0.539953842
3699,0.999678952,0.2913542038646193,0.011197389,0.000309254,0.000569315,0.421189561,0.003974580999999998,0.044398291999999985,0.005275415,0.01343132,0.000309254,0.470928879
3700,0.989700029,0.2913938816807523,0.007752092,4.8e-05,3.99e-05,0.402310764,0.0009759649999999981,0.10591448899999999,0.004189301,0.004583589,4.8e-05,0.424589044
3701,0.999889419,0.29143355949688526,0.01722668,1.68e-05,4.12e-05,0.404599356,0.009253064999999998,0.09887072999999999,0.00439618,0.005547634,1.68e-05,0.43308639
3702,0.999675723,0.2915129151291513,0.013781383,0.000527109,0.001243503,0.451049274,0.0040665189999999985,0.03910238599999999,0.020481025,0.022897077,0.000527109,0.498543466
3703,0.999370415,0.2915525929452843,0.018949328,0.000276701,0.000526722,0.407572281,0.018900687999999995,0.06636023499999999,0.002689427,0.008900706,0.000276701,0.436301181
3704,0.999991828,0.2915922707614173,0.036175855,0.343873252,0.006422798,0.509907189,0.016541257999999996,0.137611404,0.016964081,0.064870586,0.343873252,0.550043206
3705,0.989092338,0.2916319485775503,0.025839943,0.001090526,0.002110991,0.482211569,0.014432678999999999,0.182862538,0.013550577,0.044009802,0.001090526,0.529862064
3706,0.989380091,0.29167162639368327,0.022394647,0.000172781,0.000106922,0.405223976,0.012487891999999999,0.07530598299999999,0.01505045,0.005869016,0.000172781,0.432905312
3707,0.999476859,0.2917113042098163,0.014642707,0.000311758,0.000250549,0.443095256,0.008072500999999998,0.09799025999999998,0.002689427,0.008505352,0.000311758,0.478695202
3708,0.999986379,0.2917509820259493,0.021533322,0.000639792,0.000868152,0.481148751,0.006732741999999998,0.148500947,0.001086115,0.019807907,0.000639792,0.525741123
3709,0.999576039,0.2918303376582153,0.007752092,4.19e-05,4.92e-05,0.403776907,0.001973145999999998,0.04867522399999999,0.000413758,0.00308302,4.19e-05,0.424984705
3710,0.999477767,0.29187001547434827,0.012920059,9.72e-06,8.55e-06,0.371011249,0.002171167999999998,0.128661657,0.010292232,0.004897248,9.72e-06,0.398234562
3711,0.989176283,0.2919096932904813,0.024117295,0.000103043,3.77e-05,0.407346387,0.019421060999999996,0.09452436499999999,0.004034141,0.017156318,0.000103043,0.445618438
3712,0.999676228,0.2919493711066143,0.012058713,0.001213226,0.004367505,0.56233624,0.004766667999999998,0.07207965399999999,0.00429274,0.063922402,0.001213226,0.623609885
3713,0.999780654,0.2919890489227473,0.011197389,0.002149176,0.006533898,0.568205388,0.0029703269999999983,0.043763204999999986,0.003051466,0.076959806,0.002149176,0.631599913
3714,0.999885888,0.2920287267388803,0.012920059,0.000785029,0.004831478,0.505523071,0.003444164999999998,0.10516161799999998,0.017067521,0.044244939,0.000785029,0.538742256
3715,0.99947131,0.29210808237114627,0.006029443,1.31e-06,8.87e-05,0.410719588,0.0005035409999999982,0.020066859999999985,0.002327389,0.004642081,1.31e-06,0.440405192
3716,0.999370516,0.2921477601872793,0.011197389,0.000677353,0.004022957,0.561677283,0.004094807999999998,0.135950435,0.003206625,0.060395852,0.000677353,0.621739683
