Id,score
822,212116666666667.28
823,509081111111112.5
824,1272702222222226.0
825,509081111111112.5
900,509081111111112.5
901,890891111111113.5
902,84888888888889.11
903,296963333333334.2
904,42444444444444.555
905,1569665555555559.5
906,42444444444444.555
907,212116666666667.28
908,890891111111113.5
909,212116666666667.28
910,381810000000001.06
911,509081111111112.5
912,84888888888889.11
913,2927214444444453.0
914,339386666666667.6
915,509081111111112.5
916,381810000000001.06
917,636351111111113.0
918,1315125555555559.5
919,127270000000000.38
920,721197777777779.9
921,551504444444445.94
922,424234444444445.6
923,254540000000000.75
924,127270000000000.38
925,1103007777777780.9
1000,42444444444444.555
1001,42444444444444.555
1002,42444444444444.555
1003,84888888888889.11
1004,424234444444445.6
1005,1018161111111114.0
1006,339386666666667.6
1007,127270000000000.38
1008,2036323333333339.0
1009,254540000000000.75
1010,169693333333333.8
1011,1103007777777780.9
1012,296963333333334.2
1013,169693333333333.8
1014,296963333333334.2
1015,84888888888889.11
1016,848467777777780.1
1017,1272702222222226.0
1018,1187855555555558.8
1019,84888888888889.11
1020,84888888888889.11
1021,169693333333333.8
1022,42444444444444.555
1023,381810000000001.06
1024,169693333333333.8
1025,212116666666667.28
1026,1018161111111114.0
1027,1866628888888894.5
1028,42444444444444.555
1029,509081111111112.5
1100,1909052222222227.8
1101,890891111111113.5
1102,2969637777777786.0
1103,296963333333334.2
1104,424234444444445.6
1105,933314444444447.2
1106,169693333333333.8
1107,1824205555555560.5
1108,3054484444444452.5
1109,1527242222222226.2
1110,763621111111113.1
1111,890891111111113.5
1112,169693333333333.8
1113,509081111111112.5
1114,806044444444446.8
1115,296963333333334.2
1116,254540000000000.75
1117,381810000000001.06
1118,84888888888889.11
1119,127270000000000.38
1120,169693333333333.8
1121,381810000000001.06
1122,84888888888889.11
1123,593927777777779.4
1124,339386666666667.6
1125,296963333333334.2
1126,1145431111111114.2
1127,593927777777779.4
1128,466657777777779.1
1129,212116666666667.28
1200,1696935555555560.2
1201,212116666666667.28
1202,1187855555555558.8
1203,212116666666667.28
1204,806044444444446.8
1205,848467777777780.1
1206,509081111111112.5
1207,466657777777779.1
1208,466657777777779.1
1209,127270000000000.38
1210,42444444444444.555
1211,1612088888888893.5
1212,2121170000000006.0
1213,339386666666667.6
1214,254540000000000.75
1215,169693333333333.8
1216,848467777777780.1
1217,3309024444444454.0
1218,466657777777779.1
1219,806044444444446.8
1220,84888888888889.11
1221,678774444444446.4
1222,169693333333333.8
1223,1060584444444447.5
1224,975737777777780.4
1225,848467777777780.1
1226,84888888888889.11
1227,127270000000000.38
10506,42444444444444.555
10507,42444444444444.555
10509,42444444444444.555
10510,84888888888889.11
10511,42444444444444.555
10600,42444444444444.555
10601,509081111111112.5
10602,296963333333334.2
10603,466657777777779.1
10604,84888888888889.11
10605,169693333333333.8
10606,212116666666667.28
10607,84888888888889.11
10608,127270000000000.38
10609,169693333333333.8
10610,721197777777779.9
10611,42444444444444.555
10612,84888888888889.11
10613,127270000000000.38
20905,84888888888889.11
930611,169693333333333.8
930612,42444444444444.555
930613,84888888888889.11
930614,42444444444444.555
930615,169693333333333.8
930616,127270000000000.38
930700,42444444444444.555
930701,42444444444444.555
930702,42444444444444.555
930703,424234444444445.6
930704,2121170000000006.0
930705,296963333333334.2
930706,42444444444444.555
930707,169693333333333.8
930708,42444444444444.555
930709,169693333333333.8
930710,127270000000000.38
930711,42444444444444.555
930712,42444444444444.555
930713,127270000000000.38
930714,127270000000000.38
930715,127270000000000.38
930716,339386666666667.6
930717,42444444444444.555
930718,42444444444444.555
930719,763621111111113.1
930800,127270000000000.38
930801,296963333333334.2
930802,42444444444444.555
930803,169693333333333.8
930804,42444444444444.555
930805,42444444444444.555
930806,42444444444444.555
930807,42444444444444.555
930808,42444444444444.555
930809,127270000000000.38
930810,84888888888889.11
930811,424234444444445.6
930812,169693333333333.8
930813,1696935555555560.2
930814,42444444444444.555
930815,42444444444444.555
930900,169693333333333.8
930901,84888888888889.11
930902,42444444444444.555
930903,1909052222222227.8
930904,42444444444444.555
930905,212116666666667.28
930906,84888888888889.11
930907,127270000000000.38
930908,42444444444444.555
930909,84888888888889.11
930910,169693333333333.8
930911,763621111111113.1
930912,169693333333333.8
930913,212116666666667.28
930914,2757521111111119.0
931000,339386666666667.6
931001,42444444444444.555
931002,84888888888889.11
931003,42444444444444.555
931004,84888888888889.11
931005,42444444444444.555
931006,127270000000000.38
931007,127270000000000.38
931008,127270000000000.38
931009,42444444444444.555
931010,42444444444444.555
931011,678774444444446.4
931012,212116666666667.28
931013,212116666666667.28
931014,84888888888889.11
931015,42444444444444.555
931016,127270000000000.38
931017,296963333333334.2
931018,42444444444444.555
931019,212116666666667.28
931020,296963333333334.2
931100,1272702222222226.0
931101,127270000000000.38
931102,42444444444444.555
931103,42444444444444.555
931104,84888888888889.11
931105,84888888888889.11
931106,84888888888889.11
931107,127270000000000.38
931108,296963333333334.2
931109,42444444444444.555
931110,212116666666667.28
931111,212116666666667.28
931112,254540000000000.75
931113,509081111111112.5
931114,169693333333333.8
931115,127270000000000.38
931116,169693333333333.8
931117,2248440000000006.5
931118,296963333333334.2
931200,42444444444444.555
931201,42444444444444.555
931202,169693333333333.8
931203,169693333333333.8
931204,466657777777779.1
931205,933314444444447.2
931206,42444444444444.555
931207,42444444444444.555
931208,42444444444444.555
931209,42444444444444.555
931210,42444444444444.555
931211,763621111111113.1
931212,212116666666667.28
931213,127270000000000.38
931214,424234444444445.6
931215,212116666666667.28
931216,339386666666667.6
931217,339386666666667.6
931218,466657777777779.1
931219,127270000000000.38
931220,212116666666667.28
931221,254540000000000.75
940711,424234444444445.6
940712,84888888888889.11
940713,42444444444444.555
940714,212116666666667.28
940715,169693333333333.8
940716,169693333333333.8
940717,42444444444444.555
940718,254540000000000.75
950911,84888888888889.11
950912,42444444444444.555
950913,84888888888889.11
950914,42444444444444.555
950915,169693333333333.8
950916,169693333333333.8
951001,42444444444444.555
951002,127270000000000.38
951004,42444444444444.555
951005,42444444444444.555
951011,169693333333333.8
951012,42444444444444.555
951013,296963333333334.2
951014,254540000000000.75
951015,84888888888889.11
951016,254540000000000.75
951017,127270000000000.38
951018,212116666666667.28
951019,127270000000000.38
951020,127270000000000.38
951021,84888888888889.11
951022,127270000000000.38
951023,42444444444444.555
951024,127270000000000.38
951100,42444444444444.555
951111,169693333333333.8
951112,296963333333334.2
951113,42444444444444.555
951114,127270000000000.38
