,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
12,0.948734726,0.004306795,2.97E-05,2.78E-37,0.0012346,0.001230564,0.003399006,0.001499873,0.000297934,2.97E-05,0.001140036,0.008298755,2.77E-05,0.026159891
13,0.959527065,0.008613416,4.09E-05,1.28E-33,0.006270973,0.001124481,0.003817066,0.008120002,0.001192704,4.09E-05,0.006297342,0.026279391,4.17E-05,0.03269974
14,0.02098637,0.01722668,0.000175286,0.001387312,0.519862401,0.000827448,0.041619105,0.02580816,0.011979771,0.000175286,0.543731477,0.047026279,0.000186223,0
15,0.939042345,0.05081841,0.000383124,6.16E-38,0.001929053,0.034581045,0.001712227,0.00222395,0.000480542,0.000383124,0.001628623,0.013831259,0.000381374,0.130795163
16,0.959018554,0.082687471,0.0006448,4.72E-24,0.032770022,0.115119489,0.088818396,0.002585988,0.002710424,0.0006448,0.034037829,0.030428769,0.000658158,0.228890746
17,0.968603179,0.055986355,0.001168153,2.56E-20,0.057303354,0.044589139,0.163702685,0.008068282,0.007385123,0.001168153,0.065844477,0.065006916,0.001158153,0.071937841
18,0.969018261,0.018949328,0.000224115,4.05E-20,0.061952942,0.001074976,0.031118175,0.00636153,0.003215453,0.000224115,0.064009154,0.031811895,0.000237243,0.104636426
19,0.949534723,0.010336064,0.000122074,5.55E-34,0.007528542,0.002807666,0.008542957,0.003103186,0.001260953,0.000122074,0.00738309,0.027662517,0.000123596,0.078477523
20,0.948923299,0.03100791,0.000512084,4.12E-35,0.004133697,0.017540561,0.007161543,0.002327389,0.00105911,0.000512084,0.003908695,0.022130014,0.00052423,0.013080526
21,0.959009675,0.012920059,0.000231627,7.69E-25,0.029163964,0.011909174,0.084916264,0.002430829,0.001647926,0.000231627,0.029784797,0.017980636,0.000187498,0.15041421
22,0.959123384,0.016365355,9.82E-05,1.49E-23,0.030511199,0.007910547,0.067263244,0.000827516,0.001612404,9.82E-05,0.030855423,0.017980636,9.43E-05,0.071937841
23,0.959310847,0.02928524,9.70E-05,2.98E-22,0.043490192,0.03213003,0.20732484,0.003154905,0.005122797,9.70E-05,0.050228581,0.037344398,9.78E-05,0.03269974
