Id,ANP,,,,,,,,,,
109149,0.000125943,,,,,,,,,,
9703218,0.001385379,,,,,,,,,,
9704123,0.008192261,,,,,,,,,,
9705113,0.000201039,,,,,,,,,,
109157,0.000108733,,,,,,,,,,
9710032,0.004632545,,,,,,,,,,
109162,0.058233332,,,,,,,,,,
9612027,0.00058669,,,,,,,,,,
9706132,0.012549328,,,,,,,,,,
9707202,0.010799661,,,,,,,,,,
9712206,0.002860248,,,,,,,,,,
9904064,0.002694058,,,,,,,,,,
9912272,0.002483499,,,,,,,,,,
9710122,0.015236807,,,,,,,,,,
9702067,0.001329166,,,,,,,,,,
9706194,0.003080304,,,,,,,,,,
9710096,0.001060095,,,,,,,,,,
109217,0.002379459,,,,,,,,,,
110002,0.000963173,,,,,,,,,,
110030,0.000704028,,,,,,,,,,
9612157,0.003649941,,,,,,,,,,
110039,0.002162736,,,,,,,,,,
9707224,0.004672112,,,,,,,,,,
9711029,0.001426964,,,,,,,,,,
9812196,0.013055993,,,,,,,,,,
9703163,0.001684223,,,,,,,,,,
9703211,0.001733357,,,,,,,,,,
9704134,0.000672738,,,,,,,,,,
110271,0.002712191,,,,,,,,,,
110093,0.001264943,,,,,,,,,,
9903105,0.000754093,,,,,,,,,,
110106,0.000374699,,,,,,,,,,
9904089,0.009438813,,,,,,,,,,
9710014,0.002148155,,,,,,,,,,
110172,0.000342627,,,,,,,,,,
110173,0.009920705,,,,,,,,,,
9702108,0.00026049,,,,,,,,,,
9709099,0.002957967,,,,,,,,,,
9905091,1.92E-05,,,,,,,,,,
110175,0.00051707,,,,,,,,,,
9701117,0.003665124,,,,,,,,,,
9701169,0.002731544,,,,,,,,,,
9707217,0.002596261,,,,,,,,,,
9709132,0.000613287,,,,,,,,,,
9709227,0.00064223,,,,,,,,,,
111004,0.003058244,,,,,,,,,,
111059,0.001349614,,,,,,,,,,
9912254,0.001103541,,,,,,,,,,
111121,0.000240934,,,,,,,,,,
112180,0.00089094,,,,,,,,,,
9712082,0.001081755,,,,,,,,,,
9706156,0.001905531,,,,,,,,,,
111200,0.004628024,,,,,,,,,,
111208,0.015904797,,,,,,,,,,
9911149,0.000136112,,,,,,,,,,
