,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank
3299,0.988992350036408,0.045937459,0.212538025,0.003855355,4.47e-11,0.03361475243204504,0.201472457,0.00018886,0.282351684,0.00118231,0.003855355,0.023156424
3300,0.9889926527215582,0.068316713,0.15561847,0.016418645,8.23e-13,0.026734715010794906,0.139665791,0.018877193,0.023823006,0.063905326,0.016418645,0.002762521
3301,0.9889941661473094,0.038870333,0.192913426,0.026223568,1.85e-11,0.03069930799140833,0.189510473,0.005893624,0.229404741,0.02485206,0.026223568,0.007150054
3302,0.9889946706225597,0.043581741,0.266276566,0.084130703,2.3e-05,0.04275009684213367,0.243226233,0.030493539,0.124536117,0.034319521,0.084130703,0.001259384
3303,0.9889959822582108,0.032981051,0.186305134,0.004819194,2.11e-11,0.029031393941067473,0.170362476,0.00918713,0.240758711,0.009467461,0.004819194,0.030509604
3304,0.9889963858384111,0.029447487,0.256527036,0.052918524,1.66e-05,0.039978263795377236,0.231691328,0.018111624,0.031930312,0.022485217,0.052918524,0.002356268
3305,0.9889964867334612,0.032981051,0.12803482,0.003974593,7.41e-15,0.020447239269794658,0.122195555,0.020036271,0.027606416,0.022485217,0.003974593,0.009546947
3306,0.9889967894186115,0.098940939,0.158549187,0.031572476,1.69e-13,0.029172270413339342,0.143710308,0.03033564,0.004240745,0.089940837,0.031572476,0.011009458
3307,0.9889971929988117,0.007068234,0.018080849,0.010720967,3.4e-24,0.0029063893892836224,0.015691086,0.004095651,0.0003193029999999999,0.007100589,0.010720967,0.000528129
3308,0.9889982019493125,0.021202516,0.0,0.0,0.0,0.000876135238300332,0.0,0.01198093,4.575000000000001e-19,0.022485217,0.0,0.0
3309,0.9889984037394127,0.048293178,0.273879464,0.021565246,4.09e-05,0.04310410413480313,0.265648295,0.026244057,0.130085256,0.033136099,0.021565246,0.013203224
3310,0.9889992108998134,0.05653815,0.266506964,0.016698258,1.36e-05,0.04238602415764859,0.273960355,0.004956136,0.057430907,0.015384628,0.016698258,0.021937665
3311,0.9889996144800136,0.038870333,0.266310676,0.010772339,3e-05,0.04126122312444603,0.252537037,0.029922271,0.015050486,0.031952648,0.010772339,0.009059443
3312,0.9889998162701138,0.035336769,0.124211159,0.010723948,9.6e-14,0.020132888340447186,0.108039724,0.00674261,0.001234805,0.033136099,0.010723948,0.001950015
3313,0.9890745795022222,0.024736079,0.266233945,0.003149865,2.22e-05,0.04030647539546581,0.255973601,0.010819375,0.033302318,0.011834334,0.003149865,0.005768793
3314,0.9890749830824225,0.015313234,0.064528448,0.010891875,1.21e-15,0.01021222829626682,0.058062618,0.001309193,0.00019540699999999993,0.013017755,0.010891875,0.007759433
3315,0.9890758911378732,0.018846797,0.161196187,0.003239293,8.08e-12,0.02450327206361345,0.1466644,0.011726478,0.10995336,0.010650883,0.003239293,0.010481329
3316,0.9890765974032237,0.069494558,0.106431207,0.004014339,1.47e-15,0.01935993387179625,0.1037697,0.023267235,0.073391905,0.04260356,0.004014339,0.006581299
3317,0.9890766982982738,0.055360305,0.209340284,0.015320863,1.7e-11,0.03387595045003075,0.195519846,0.013129128,0.121822872,0.022485217,0.015320863,0.014178231
3318,0.9890775054586745,0.037692488,0.238202099,0.002742469,1.45e-06,0.03690006651061261,0.227858021,0.023548756,0.095518198,0.034319521,0.002742469,0.001340635
3319,0.9890777072487746,0.008246107,0.248612894,0.036906479,6.78e-06,0.037323986362276386,0.232648917,0.000132688,0.044729461,0.00118231,0.036906479,0.001056258
3320,0.9890791197794757,0.042403896,0.172997189,0.033603692,1.87e-12,0.028096151785036216,0.171146052,0.006527168,0.021661058,0.014201177,0.033603692,0.047664451
3321,0.9890797251497762,0.028269643,0.185915154,3.14e-05,1.45e-11,0.028624139705349626,0.17076529,0.00164976,0.197047028,0.00118231,3.14e-05,0.008775066
3322,0.9890798260448262,0.116608756,0.283196551,0.123054487,7.9e-05,0.05011929009813869,0.286276634,0.087709477,0.244827331,0.091124258,0.123054487,0.015884494
3323,0.9890802296250266,0.063605276,0.253895584,0.009062072,1.88e-06,0.040797283787096,0.273776877,0.00952208,0.396846383,0.007100589,0.009062072,0.057712308
3324,0.9890815412606776,0.010601826,0.111881287,0.003408213,6.82e-15,0.016781432973720617,0.105507545,2.03e-21,0.001276381,0.00118231,0.003408213,0.056157577
3325,0.9890823484210782,0.055360305,0.165389429,0.003765927,1.18e-11,0.027218152918734244,0.147573978,0.048255175,0.181969934,0.049704149,0.003765927,0.001746888
3326,0.9890825502111784,0.130743009,0.254307073,0.039021559,4.9e-06,0.04520465397388681,0.247398237,0.087622124,0.234780924,0.111242602,0.039021559,0.004793786
3327,0.9890826511062285,0.049471023,0.234597391,0.007253632,1.09e-11,0.037118283044783866,0.224997032,0.000179572,0.027190656,0.002367546,0.007253632,0.107313774
3328,0.989083256476529,0.077739559,0.184802068,0.016088059,3.76e-12,0.031560471184458795,0.177588355,0.024490889,0.106716674,0.031952648,0.016088059,0.03063148
3329,0.989083357371579,0.027091769,0.269067871,0.004073958,2.89e-05,0.040879397457596466,0.260069225,0.008047026,0.31760516,0.009467461,0.004073958,0.005484416
3330,0.9890835591616792,0.044759615,0.263442401,0.023765382,7.33e-06,0.041374404264000075,0.263379361,0.013919155,0.339462872,0.013017755,0.023765382,0.048566333
3331,0.9890839627418795,0.016491079,0.257687537,0.008843469,2.49e-05,0.038675577818862245,0.25463988,0.001760334,0.313480828,0.003550294,0.008843469,0.002396893
3332,0.9890850725874304,0.030625332,0.072724799,0.00029412,1.85e-16,0.012116100859435411,0.066464557,0.018925093,0.021078995,0.026035511,0.00029412,0.00069063
3333,0.9890851734824805,0.047115304,0.26551145,0.036492227,2.34e-05,0.042041038905208196,0.274632854,0.021475764,0.336517218,0.026035511,0.036492227,0.011456336
3334,0.9890852743775305,0.002356825,0.0301518,0.000111289,1.05e-23,0.004234148814999381,0.027791236,2.869999999999995e-06,4.529999999999991e-05,0.00118231,0.000111289,0.058914817
3335,0.9890854761676307,0.049471023,0.214491371,0.001043331,1.24e-11,0.03405706348113774,0.211444648,0.000169841,0.094264684,0.003550294,0.001043331,0.024781436
3336,0.9890864851181315,0.028269643,0.142879874,0.008237344,2.15e-13,0.02243245524390318,0.1321869,0.001273809,0.011682836,0.020118344,0.008237344,0.003250024
