,Id,S.No,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score
12,0.9593108465194743,0.0008420883791803673,0.000374848,0.047720463,0.023197842,2.66e-25,0.007714766,0.000374848,0.000380318,0.000658836,0.014925366,0.021452068
13,0.9495469308233337,0.0008821878258080039,0.00013684,0.002073718,0.023197842,5.78e-43,0.001030061,0.00013684,0.000134195,0.0,0.02072968,0.012453272
14,0.9685936946653766,0.0009623867190632769,0.01060656,0.060801717,0.038939357,1.88e-23,0.016804475,0.01060656,0.010451954,0.109345111,0.02072968,0.039347525
15,0.9687034684687866,0.0010024861656909134,0.003643218,0.079306287,0.038110845,3.3e-22,0.022543148,0.003643218,0.003664776,0.327416925,0.015754565,0.016957944
16,0.9690114001305582,0.0010826850589461866,0.001742663,0.082815133,0.037282352,2.6200000000000007e-21,0.023842928,0.001742663,0.001678937,0.0,0.017412944,0.026114412
17,0.968804968878925,0.001122784505573823,0.002204644,0.074441789,0.029825841,5.17e-22,0.018132962,0.002204644,0.002064069,0.0,0.015754565,0.018642603
18,0.969516682490372,0.0011628839522014596,0.00516951,0.115460882,0.051366863,7.82e-19,0.053852732,0.00516951,0.005127076,0.046876939,0.019071302,0.013976486
19,0.9691017011912677,0.0012430828454567328,0.002111078,0.088835637,0.038939357,1.38e-20,0.030904981,0.002111078,0.001997875,0.056300605,0.014925366,0.015214743
20,0.9795944826556382,0.0013232817387120058,0.105674666,0.219041969,0.147472921,1.41e-15,0.176536599,0.105674666,0.104846056,0.306894872,0.029021553,0.027002465
21,0.9999896078108904,0.0013633811853396424,0.000877179,0.284408761,0.024026334,1.41e-07,0.010876586,0.000877179,0.00091469,0.386173523,0.016583744,0.007618165
22,0.96930904049826,0.0014435800785949154,0.000947354,0.080734016,0.020712345,4.01e-21,0.019467832,0.000947354,0.00099292,0.71155569,0.003316757,0.004904128
23,0.968708008745582,0.0015237789718501884,2.11e-06,0.004020467,0.004142316,2.71e-40,0.001378408,2.11e-06,1.06e-06,0.525336205,0.00165873,0.0006280359999999997
24,0.9893891713389478,0.0016039778651054616,0.01205718,0.263794393,0.073736378,5.38e-09,0.11755008,0.01205718,0.012512472,0.000658836,0.009950251,0.01016894
25,0.9692201519681091,0.0020450717780094636,0.006380895,0.099475179,0.01905534,5.27e-21,0.019972044,0.006380895,0.006595995,0.403613589,0.00165873,0.0023612469999999995
26,0.010210275352653389,0.0020851712246371,2.27e-05,0.462059589,0.017398335,2.2e-05,0.029500355,2.27e-05,2.64e-05,0.546413164,0.003316757,0.007149967
27,0.010897875049564689,0.002165370117892373,0.000280113,0.553279746,0.029825841,0.000225621,0.100907634,0.000280113,0.000281628,0.000329418,0.000829365,0.0010967919999999999
