,Id,Katz-Centrality,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Load-centrality,Page-Rank,Percolation-Centrality,Hybrid-Centrality,score
43,0.999377276,0.083423744,0.129906621,0.028569912,0.049136597,0.032448706,0.004418257,5.18E-72,0.001738132,0.005208394,0.028494075,0.019672493,0.028569912,0.019452387,0.190377137
44,0.968599149,0,1.18E-18,0,0,0.001475253,0.002945505,0,0,0.000102625,0,0,0,0.000102625,0
45,0.968599048,0.002166804,6.67E-06,0,0.001044731,0.001475253,0.001472424,2.11E-89,0,4.06E-06,0,0.000439832,0,9.26E-05,0.17917864
46,0.968599351,0.004333608,0.000187773,3.32E-06,0.002089929,0.002950177,0.001472424,4.24E-89,0,3.77E-06,3.33E-06,0.001119573,3.32E-06,0.000223768,0.06719348
47,0.968599452,0,1.18E-18,0,0,0.013274669,0.014727547,0,0.000869066,0.001203718,0,0,0,0.001203718,0.156781646
48,0.968599553,0,1.18E-18,0,0,0.004425101,0.00589101,0,0,6.71E-05,0,0,0,6.71E-05,0.324759292
49,0.968599654,0,1.18E-18,0,0,0.001475253,0.002945505,0,0.000869066,0.001890454,0,0,0,0.001890454,0.246369805
50,0.968599755,0.002166804,1.32E-05,0,0.001044731,0,0,2.11E-89,0.037830232,1.01E-19,0,0.001759329,0,0.00033951,0.145583149
51,0.968599856,0,1.18E-18,0,0,0.002950177,0.004418257,0,0,0.001404337,0,0,0,0.001404337,0.022399492
52,0.968599956,0.002166804,1.23E-06,2.49E-06,0.001044731,0.004425101,0.004418257,2.11E-89,0.000869066,2.08E-06,2.50E-06,0.001479435,2.49E-06,0.000285497,0
53,0.999377478,0.035405171,0.184343823,0.019130885,0.034377287,0.039823327,0.025036814,2.56E-72,0,0.038424599,0.019768819,0.003678596,0.019130885,0.04625648,0.145583149
54,0.968600158,0,1.18E-18,0,0,0.02064929,0.022091309,0,0.001738132,0.003125036,0,0,0,0.003125036,0.078392159
55,0.968600259,0,1.18E-18,0,0,0,0.001472424,0,0.000869066,2.89E-09,0,0,0,0,0.044796486
56,0.96860036,0.002166804,1.20E-18,1.16E-05,0.001044731,0.010324821,0.010309267,2.11E-89,0.000869066,1.00E-19,1.16E-05,0.008756658,1.16E-05,0.001697551,0.055994983
57,0.999377579,0,1.18E-18,0,0,0.008849873,0.010309267,0,0.018742855,3.69E-05,0,0,0,3.69E-05,0.123186148
58,0.968600562,0.004333608,2.81E-05,0.004845929,0.002089929,0.004425101,0.002945505,4.24E-89,0.000869066,2.34E-05,0.004889516,0.003678596,0.004845929,0.002515693,0.011200995
59,0.968600663,0.019746592,0.000190745,0.002886488,0.044124648,0.014749593,0.007363762,4.27E-73,0.001738132,0.000586427,0.002891559,0.02555025,0.002886488,0.006574922,0.033597989
