Rank,Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality
62,0.999993644,0.020204429,0.989079628,0.021206821,0.030490273,0.999681273,0.999164993,0.978694201,0.010198872,0.0210015,0.989079628
63,0.999993543,0.969010801,0.988996187,0.02120783,0.03028475,0.988986501,0.010092024,0.010598719,0.021320429,0.030590765,0.988996187
64,0.999993442,0.988996591,0.989094762,0.020908475,0.030494914,0.98969993,0.010905844,0.968898202,0.020794867,0.030592984,0.989094762
65,0.999993341,0.979402685,0.020194945,0.020795977,0.021118538,0.979704462,0.00062454,0.969618492,0.030487549,0.000210366,0.020194945
66,0.99999324,0.011003005,0.98888712,0.030589251,0.030271936,0.010605277,0.999584514,0.020187076,0.969620207,0.030369905,0.98888712
67,0.999993139,0.988974394,0.989582186,0.020596003,0.021091599,0.979107467,0.000222171,0.999790744,0.020686304,0.021115007,0.989582186
68,0.999993038,0.020490568,0.020794867,0.020886177,0.021089985,0.988980549,0.000322561,0.979107467,0.000410239,0.030597121,0.020794867
69,0.999992937,0.989082352,0.020611743,0.020204429,0.021192091,0.999970539,0.001017526,0.988996591,0.988980145,0.03059702,0.020611743
70,0.999992836,0.00062454,0.979490161,0.030492594,0.021217012,0.968808204,0.020390883,0.979197061,0.02061487,0.010093538,0.979490161
71,0.999992736,0.968898303,0.010614156,0.021008765,0.030269313,0.988978026,0.99958179,0.020887186,0.989286059,0.030596213,0.010614156
72,0.999992635,0.969110586,0.020500657,0.02080193,0.030475744,0.979510946,0.998974705,0.020290796,0.00011391,0.030390992,0.020500657
73,0.999992534,0.979594285,0.010502364,0.020610633,0.020692862,0.989277684,0.999286975,0.968698127,0.011005931,0.020385536,0.010502364
74,0.999992433,0.978801351,0.010609717,0.020593481,0.030581987,0.98937979,0.999380303,0.999995561,0.020689634,0.010912906,0.010609717
75,0.999992332,0.979197061,0.988883689,0.020796784,0.020613861,0.999383431,0.999677943,0.999881247,0.000913403,0.030596717,0.988883689
76,0.999992231,0.988789453,0.999689445,0.030489466,0.03047978,0.000706265,0.020809396,0.00062454,0.020613357,0.030595406,0.999689445
77,0.99999213,0.979107467,0.000706265,0.030372024,0.030277486,0.988998205,0.010300272,0.979816759,0.999584111,0.030495217,0.000706265
78,0.999992029,0.97981696,0.979710718,0.030487549,0.030489668,0.988791875,0.000216521,0.978684111,0.999871762,0.030573007,0.979710718
79,0.999991928,0.968898202,0.010211181,0.021216608,0.021313165,0.979815548,0.000426685,0.000821992,0.989287976,0.02119199,0.010211181
80,0.999991828,0.979612951,0.000607085,0.030470901,0.02109049,0.968695201,0.999078728,0.968998996,0.030372327,0.030484119,0.000607085
81,0.999991727,0.999265383,0.988994472,0.030588141,0.030383425,0.98947897,0.989785792,0.968794179,0.021100478,0.030483816,0.988994472
82,0.999991626,0.978694201,0.999379395,0.030495923,0.030280311,0.968698228,0.998966028,0.998972082,0.010211181,0.020598828,0.999379395
83,0.999991525,0.969618492,0.000622421,0.02111642,0.021110568,0.989699426,0.999672495,0.010605277,0.020684387,0.030575731,0.000622421
84,0.999991424,0.020290796,0.010498934,0.030573915,0.030484219,0.999580378,0.989279702,0.999875092,0.99999778,0.000220859,0.010498934
85,0.999991323,0.999790744,0.000116937,0.020589243,0.030287474,0.020290796,0.988983878,0.968607221,0.001037403,0.030571494,0.000116937
86,0.999991222,0.96971414,0.010496815,0.0211029,0.020602662,0.020187076,0.030488861,0.96971414,0.989781958,0.03028475,0.010496815
87,0.999991121,0.98968641,0.01059428,0.030369804,0.020998372,0.989783572,0.989597723,0.999572508,0.000322561,0.020589041,0.01059428
