,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality,MAUT
919,4187,0.029447487,0.424344932,0.016613699,0.000251753,0.064572392,0.384133878,0.006889053,0.07216209,0.005917167,0.016613699,0.016940752,0.01594795,0.078105334,0.094061442
928,4196,0.014135389,0.374407297,0.008913024,0.000151444,0.056137439,0.334009369,0.0005396,0.030558306,0.010650883,0.008913024,0.003331275,0.009028387,0.035284476,0.031363755
931,4201,0.004712544,0.357121922,0.000719401,0.000123132,0.052894869,0.311662134,3.34e-05,0.107498717,0.00118231,0.000719401,0.008368813,0.000758628,0.017378734,0.172433815
934,4204,0.011779671,0.377893774,5.59e-05,0.000171776,0.056384597,0.339799678,0.000521908,0.124193115,0.00118231,5.59e-05,0.0133251,5.84e-05,0.046709338,0.015698359
936,4206,0.027091769,0.439557256,0.001560028,0.00045911,0.066603608,0.382383618,0.007508089,0.057590559,0.007100589,0.001560028,0.011496961,0.001584284,0.036029486,0.156759503
937,5001,0.022380361,0.420380297,0.002772278,0.000561604,0.063624842,0.365618426,0.005684375,0.031348249,0.005917167,0.002772278,0.007434431,0.002813119,0.036230369,0.015698359
939,5003,0.031803206,0.388061343,0.008296962,0.000184127,0.059173858,0.355881333,0.005605867,0.179335267,0.004733716,0.008296962,0.034044005,0.008429203,0.084997053,0.141085177
942,5006,0.061249587,0.360569711,0.031260172,8.49e-06,0.057047366,0.317972047,0.009164573,0.006070085,0.053254443,0.031260172,0.004875037,0.031633681,0.019840756,0.203782851
943,5007,0.058893868,0.424743275,0.004789384,0.000155435,0.066032617,0.385948146,0.002631655,0.381264973,0.004733716,0.004789384,0.025065813,0.004884875,0.098870976,0.39187626
950,5015,0.057716023,0.313148822,0.011867339,3.15e-06,0.049543405,0.289116813,0.009123351,0.047107604,0.04260356,0.011867339,0.003168774,0.012502234,0.02474494,0.04703808
951,5016,0.05653815,0.315009232,0.003070373,0.00010945,0.049695251,0.272293857,0.017366711,0.03542269,0.044970404,0.003070373,0.003575027,0.003554483,0.013546024,0.04703808
955,5021,0.050648868,0.447286556,0.008227407,0.000431084,0.069174723,0.41191748,0.002994337,0.207414817,0.009467461,0.008227407,0.03132211,0.00785033,0.136614587,0.062712792
957,5025,0.027091769,0.276836336,0.000544519,7.9e-06,0.042267172,0.236482285,0.007090917,0.001396951,0.026035511,0.000544519,0.001503136,0.000622542,0.003181986,0.235131888
960,5028,0.025913924,0.346723004,0.016357536,3.67e-05,0.052765145,0.338605201,0.004073536,0.022326273,0.00828401,0.016357536,0.055203289,0.01685932,0.058904358,0.078387117
961,5029,0.050648868,0.281157521,0.012815677,2.76e-06,0.044451235,0.28404998,0.01209805,0.121779217,0.027218932,0.012815677,0.012065715,0.013175352,0.040930738,0.015698359
963,5031,0.077739559,0.332261652,0.012765597,2.53e-06,0.053513329,0.291746252,0.013493932,0.019000199,0.072189336,0.012765597,0.000975007,0.013349826,0.012195257,0.04703808
964,5032,0.061249587,0.37683259,0.006101,0.000218188,0.059200393,0.343312465,0.007547896,0.062601705,0.027218932,0.006101,0.014909487,0.006103555,0.053497551,0.094061442
968,5036,0.048293178,0.195533704,0.000718408,4.39e-11,0.031522522,0.16800395,0.006516376,0.003791725,0.04260356,0.000718408,0.00138126,0.000841905,0.006156953,0.235131888
971,5040,0.06478315,0.123587948,0.000341815,7.49e-13,0.021881751,0.10556306,0.021450111,0.020122749,0.063905326,0.000341815,4.06e-05,0.0004306,0.002783412,0.0
976,5046,0.028269643,0.286243843,0.000960858,9.33e-07,0.04371854,0.257534418,0.011832186,0.017378738,0.02485206,0.000960858,0.004265657,0.001025722,0.008473551,0.015698359
977,5047,0.051826741,0.507267897,0.017107442,0.000688669,0.078435514,0.461802951,0.003007606,0.217079973,0.009467461,0.017107442,0.023034548,0.016615076,0.165007926,0.141085177
978,5048,0.070672403,0.302321778,0.022793594,1.53e-06,0.048874486,0.272270804,0.022230231,0.010809741,0.066272199,0.022793594,0.001137509,0.024095029,0.008565668,0.031363755
979,5049,0.081273122,0.459972785,0.043231249,3.55e-05,0.073031758,0.441189087,0.005318287,0.350845945,0.015384628,0.043231249,0.117815821,0.043473461,0.157146227,0.10973614
980,5051,0.007068234,0.23116889,7.32e-05,1.45e-06,0.03439405,0.219950641,0.000973049,0.109978306,0.00118231,7.32e-05,0.001787513,8.17e-05,0.010375287,0.031363755
983,5054,0.015313234,0.264018673,0.000414351,2.39e-05,0.039720804,0.245489259,0.00640766,0.228848455,0.004733716,0.000414351,0.001543762,0.000433647,0.016909429,0.031363755
984,5055,0.00353467,0.157692076,2.81e-05,4.35e-12,0.023387084,0.136782264,1.18e-05,0.124049678,0.00118231,2.81e-05,0.005078163,3.38e-05,0.004865115,0.015698359
989,5061,0.043581741,0.051220027,0.000673693,9.080000000000001e-21,0.010034784,0.046856955,0.013424846,0.005030687,0.037869815,0.000673693,0.013121973,0.000720037,0.007233501,0.141085177
993,5065,0.015313234,0.33648905,0.006915791,8.02e-05,0.050533976,0.298238173,0.003007606,0.101724653,0.007100589,0.006915791,0.002884397,0.006916009,0.024237633,0.0
995,5067,0.129565164,0.469376893,0.042046919,0.000180897,0.077284364,0.445263876,0.009188501,0.20090569,0.031952648,0.042046919,0.074704248,0.041812604,0.255269939,1.269646041
1000,5073,0.042403896,0.260612315,0.006379221,2.57e-06,0.040850892,0.252043165,0.008378084,0.301603417,0.031952648,0.006379221,0.003575027,0.006855075,0.023110785,0.125410466
1003,5076,0.045937459,0.099193244,0.001261933,5.43e-16,0.017232583,0.097219542,0.00191956,0.049557674,0.00828401,0.001261933,0.018078261,0.001299925,0.032965991,0.736714453
